portal_rank_247,player_name,role,team,new_team,conf,GP,Min_per,min_factor,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec_Rank,ast_tov,rimmade,rimmade_rimmiss,midmade,midmade_midmiss,rim_pct,mid_pct,dunksmade,dunksmade_dunksmiss,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,bpm_adj,adj_bpm2,obpm,dbpm,gbpm,adj_gbpm,min_adj_gbpm,mp,mp_factor,cam_gbpm,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,idk,dob,gp_weight,cam_gbpm_v2,min_adj_gbpm_v2,conf_sos,sos_adj,adj_gbpm_sos,cam_gbpm_v3,min_adj_gbpm_v3
,Cameron Boozer,Stretch 4,Duke,,ACC,38,83.6,1.394,131.4,30.6,60.7,65.27,12.5,22.1,25.6,14.7,221,280,0.789,236,384,0.615,54,138,0.391,2.2,2.5,53.6,Fr,6-9,12,7.58637,157.717,2,2026,134971,"Miami, FL",99.6,1.63543521,214,332,22,52,0.6446,0.4231,41,43,0.9535,,91.738,85.7491,5.64417,279.747,16.0077,62.984,19.697,10.2357,5.77199,17.1435,21.778,30.351,33.4553,1.510,32.889,12.0494,5.09413,3.3684,6.8684,10.2368,4.1316,1.3947,0.6053,22.5,6.49374,2007-07-18,0.826,27.169,25.073,3.209,1.605,23.382,29.171,26.920
,AJ Dybantsa,Wing F,BYU,,B12,35,86.6,1.421,118.6,33.5,55,60.03,4.7,16.9,22.1,15,229,296,0.774,259,456,0.568,49,148,0.331,1.1,1.7,49,Fr,6-9,3,6.58937,147.18,1.4,2026,134465,"Brockton, MA",100,1.20371387,133,184,126,272,0.7228,0.4632,43,48,0.8958,,107.613,100.845,4.03008,216.254,6.22968,86.341,9.417,5.88655,0.34313,10.0539,14.815,21.049,34.7686,1.537,22.771,8.98352,1.07033,1.4571,5.3714,6.8286,3.7143,1.0571,0.3429,25.5429,6.87575,2007-01-29,0.814,18.535,17.133,3.557,1.779,16.594,20.760,19.190
,Yaxel Lendeborg,Stretch 4,Michigan,,B10,40,75.1,1.323,137.5,20.5,60.2,64.65,8,16,18,9.5,136,165,0.824,133,208,0.639,67,180,0.372,4.4,2.1,42.5,Sr,6-9,23,5.82868,148.264,2.3,2026,78699,"Pennsauken, NJ",,3.07142862,113,155,20,53,0.729,0.3774,29,30,0.9667,,95.3438,86.8261,4.95631,261.919,15.4997,33.735,15.695,9.16012,6.33955,15.1339,15.383,20.350,30.145,1.431,22.018,9.21226,5.92163,1.875,4.9,6.775,3.225,1.125,1.225,15.075,8.35135,2002-09-30,0.833,18.348,16.959,3.756,1.878,17.260,20.588,19.029
,Zuby Ejiofor,PF/C,St. John's,,BE,37,74.7,1.320,122.3,26.4,56,60.88,12.1,14.7,23,15.1,186,259,0.718,182,314,0.58,18,59,0.305,7.2,2.2,69.4,Sr,6-9,24,4.95609,140.155,3.2,2026,77145,"Garland, TX",89.4,1.67947442,139,212,43,102,0.6557,0.4216,35,36,0.9722,,95.959,90.5204,4.54753,236.442,14.2722,50.838,15.336,6.87151,7.40072,13.4895,15.228,20.094,29.9892,1.428,21.739,8.0825,5.40701,3.3243,4,7.3243,3.5405,1.1622,2.1351,16.3243,3.00867,2004-04-20,0.822,17.874,16.522,3.081,1.540,16.769,19.682,18.193
,Bruce Thornton,Combo G,Ohio St.,,B10,34,90.3,1.456,136.3,23.2,62.6,66.54,3.3,13.5,21.9,9.2,141,170,0.829,175,273,0.641,62,155,0.4,0.8,1.9,39.7,Sr,6-2,2,7.23345,150.105,2,2026,76969,"Fairburn, GA",91,3.02279559,74,98,101,175,0.7551,0.5771,0,0,,,108.29,100.927,4.18965,209.86,10.9109,51.664,12.358,8.67501,2.23593,11.6243,13.054,19.004,36.5029,1.570,20.489,8.90195,2.72235,0.9118,4.1765,5.0882,3.9118,1.1471,0.2353,19.9118,7.53339,2003-09-14,0.810,16.586,15.384,3.756,1.878,14.932,18.972,17.597
,Tyler Tanner,Scoring PG,Vanderbilt,,SEC,36,83.1,1.394,125.9,26.3,54.9,61.2,1.5,10.8,28.9,12.2,186,218,0.853,168,307,0.547,60,163,0.368,1.1,4.1,46.4,So,6-0,3,5.76965,142.4,2.4,2026,127726,"Brentwood, TN",,2.7058606,125,194,43,113,0.6443,0.3805,17,18,0.9444,,104.237,96.9159,4.31895,236.116,10.2242,59.066,12.186,7.57406,2.65013,11.4124,13.107,18.269,33.4639,1.506,19.734,7.3726,4.03979,0.4167,3.2222,3.6389,5.1111,2.3889,0.3333,19.5,7.69279,2006-02-01,0.818,16.146,14.947,3.920,1.960,15.067,18.561,17.183
,Keaton Wagler,Combo G,Illinois,,B10,37,83.7,1.403,130.2,25.7,54.1,59.56,6.7,10,23.2,12.5,172,216,0.796,115,235,0.489,87,219,0.397,1.3,1.7,47.6,Fr,6-6,23,6.45568,147.945,2.3,2026,134560,"Lenexa, KS",52.6,2.37874191,84,146,31,89,0.5753,0.3483,0,1,0,,105.827,97.9212,4.23244,202.662,11.1599,56.476,13.386,8.84287,2.31707,11.0311,13.016,18.268,33.927,1.511,19.669,8.24371,2.78737,1.9189,3.1622,5.0811,4.2432,0.9189,0.3784,17.9189,10.7068,2006-10-15,0.822,16.172,15.021,3.756,1.878,14.894,18.505,17.187
,Darius Acuff Jr.,Scoring PG,Arkansas,,SEC,36,84.3,1.428,125.9,29.5,56.1,60.4,1.6,8.3,32.2,11.6,178,220,0.809,197,388,0.508,91,207,0.44,0.9,1.3,37,Fr,6-3,5,6.66432,147.611,1.9,2026,137661,"Detroit, MI",98.4,2.97429278,126,211,71,177,0.5972,0.4011,7,10,0.7,,115.022,105.687,3.46002,176.388,6.6812,74.716,10.214,7.92234,-1.24114,8.94266,12.684,18.114,35.1278,1.516,19.235,8.91614,0.0265228,0.4722,2.6111,3.0833,6.4444,0.8333,0.3056,23.4722,9.03389,2006-10-15,0.818,15.738,14.821,3.920,1.960,14.644,18.170,17.111
,Labaron Philon,Scoring PG,Alabama,,SEC,33,72.3,1.339,124.3,29.9,58.5,62.6,1.9,9.2,31.9,14.8,158,198,0.798,162,282,0.574,81,203,0.399,0.5,2,40.8,So,6-4,0,5.98784,148.652,2,2026,127235,"Mobile, AL",93.2,1.96425061,113,172,49,110,0.657,0.4455,5,5,1,,113.428,103.152,3.32093,164.709,8.53411,68.655,12.165,8.41879,0.115325,10.307,14.041,18.804,30.8909,1.404,19.720,9.08449,1.22248,0.5758,2.9697,3.5455,5,1.1515,0.1818,21.9697,10.7434,2005-11-24,0.805,15.872,15.135,3.920,1.960,16.002,18.088,17.248
,Kingston Flemings,Scoring PG,Houston,,B12,37,78.9,1.356,121.1,26.5,52,56.33,1.8,12.9,32.6,13.1,109,129,0.845,181,360,0.503,41,106,0.387,1.3,3,27.7,Fr,6-4,4,4.96448,137.68,2.5,2026,133884,"San Antonio, TX",96.8,2.90907047,95,166,86,194,0.5723,0.4433,11,13,0.8462,,95.8619,89.4913,4.91684,216.207,10.3482,57.845,11.546,5.86741,4.48078,11.4477,12.678,17.194,31.6811,1.467,18.600,6.28614,5.16157,0.5135,3.5405,4.0541,5.1892,1.5135,0.3243,16.0541,5.58799,2007-01-03,0.822,15.293,14.137,3.557,1.779,14.456,17.439,16.120
