period,sequence,team,player,explanation,scoringplay,score_home,score_visitor
"1","1-0060","WCAR","CJ Hyland","Game start","N","0","0"
"1","1-0060","WCAR","CJ Hyland","Jump ball","N","0","0"
"1","1-0060","WCAR","CJ Hyland","Start of period","N","0","0"
"1","1-0141","DUKE","Patrick Ngongba","Patrick Ngongba won jump ball","N","0","0"
"1","1-0141","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba lost jump ball","N","0","0"
"1","1-0149","DUKE","Patrick Ngongba","Patrick Ngongba turnover","N","0","0"
"1","1-0154","DUKE","Caleb Foster","Caleb Foster personal ","N","0","0"
"1","1-0154","WCAR","CJ Hyland","CJ Hyland fouled on the play","N","0","0"
"1","1-0172","WCAR","Cord Stansberry","Cord Stansberry missed driving layup","N","0","0"
"1","1-0174","DUKE","Dame Sarr","Dame Sarr defensive rebound","N","0","0"
"1","1-0177","DUKE","Isaiah Evans","Isaiah Evans missed 3-point field goal","N","0","0"
"1","1-0181","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba defensive rebound","N","0","0"
"1","1-0197","DUKE","Cameron Boozer","Cameron Boozer personal two shots","N","0","0"
"1","1-0197","WCAR","CJ Hyland","CJ Hyland fouled on the play","N","0","0"
"1","1-0197","WCAR","CJ Hyland","CJ Hyland made free throw 1 of 2","Y","0","1"
"1","1-0197","WCAR","CJ Hyland","CJ Hyland made free throw 2 of 2","Y","0","2"
"1","1-0245","DUKE","Cameron Boozer","Cameron Boozer missed 3-point field goal","N","0","2"
"1","1-0249","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba defensive rebound","N","0","2"
"1","1-0276","WCAR","Marcus Kell","Marcus Kell made pullup jump shot","Y","0","4"
"1","1-0286","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba personal ","N","2","4"
"1","1-0286","DUKE","Cameron Boozer","Cameron Boozer made layup","Y","2","4"
"1","1-0286","DUKE","Cameron Boozer","Cameron Boozer fouled on the play","N","2","4"
"1","1-0286","DUKE","Cameron Boozer","Cameron Boozer made free throw 1 of 1","Y","3","4"
"1","1-03.6","DUKE","Cameron Boozer","Cameron Boozer fouled on the play","N","3","4"
"1","1-03.6","WCAR","Marcus Kell","Marcus Kell personal ","N","3","4"
"1","1-03.6","DUKE","Cameron Boozer","Cameron Boozer offensive rebound","N","3","4"
"1","1-03.7","WCAR","CJ Hyland","CJ Hyland fouled on the play","N","6","4"
"1","1-03.7","DUKE","Isaiah Evans","Isaiah Evans personal ","N","6","4"
"1","1-0348","WCAR","CJ Hyland","CJ Hyland missed jump shot","N","3","4"
"1","1-0348","DUKE","Patrick Ngongba","Patrick Ngongba defensive rebound","N","3","4"
"1","1-0355","WCAR","Julien Soumaoro","Julien Soumaoro personal ","N","3","4"
"1","1-0355","DUKE","Isaiah Evans","Isaiah Evans fouled on the play","N","3","4"
"1","1-0357","DUKE","Caleb Foster","Caleb Foster missed 3-point field goal","N","3","4"
"1","1-0360","WCAR","Cord Stansberry","Cord Stansberry defensive rebound","N","6","4"
"1","1-0361","DUKE","Cameron Boozer","Cameron Boozer made 3-point jump shot","Y","6","4"
"1","1-0361","DUKE","Caleb Foster","Caleb Foster assist","N","6","4"
"1","1-0378","WCAR","Julien Soumaoro","Julien Soumaoro missed 3-point field goal","N","6","4"
"1","1-0382","WCAR","Marcus Kell","Marcus Kell offensive rebound","N","6","4"
"1","1-0383","WCAR","Cord Stansberry","Cord Stansberry missed 3-point jump shot","N","6","4"
"1","1-0387","DUKE","Patrick Ngongba","Patrick Ngongba defensive rebound","N","6","4"
"1","1-0397","DUKE","Caleb Foster","Caleb Foster missed 3-point field goal","N","6","4"
"1","1-04.6","DUKE","Caleb Foster","Caleb Foster sub out","N","6","4"
"1","1-04.6","DUKE","Isaiah Evans","Isaiah Evans sub out","N","6","4"
"1","1-04.6","DUKE","Dame Sarr","Dame Sarr sub out","N","6","4"
"1","1-04.6","DUKE","Cayden Boozer","Cayden Boozer sub in","N","6","4"
"1","1-04.6","WCAR","CJ Hyland","CJ Hyland sub out","N","6","4"
"1","1-04.6","DUKE","Maliq Brown","Maliq Brown sub in","N","6","4"
"1","1-04.6","DUKE","Darren Harris","Darren Harris sub in","N","6","4"
"1","1-04.6","DUKE","Patrick Ngongba","Patrick Ngongba sub out","N","6","4"
"1","1-04.6","DUKE","Nikolas Khamenia","Nikolas Khamenia sub in","N","6","4"
"1","1-04.6","WCAR","Tahlan Pettway","Tahlan Pettway sub in","N","6","4"
"1","1-04.6","WCAR","Justin Johnson","Justin Johnson sub in","N","6","4"
"1","1-04.6","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub out","N","6","4"
"1","1-04.6","WCAR","CJ Hyland","Samuel Dada sub in","N","6","4"
"1","1-04.6","WCAR","Julien Soumaoro","Julien Soumaoro sub out","N","6","4"
"1","1-04.6","WCAR","CJ Hyland","Team offensive rebound","N","6","4"
"1","1-04.8","DUKE","Cayden Boozer","Cayden Boozer assist","N","8","4"
"1","1-04.8","DUKE","Maliq Brown","Maliq Brown made alley-oop","Y","8","4"
"1","1-0459","WCAR","Marcus Kell","Marcus Kell missed jump shot (blocked)","N","6","4"
"1","1-0459","DUKE","Dame Sarr","Dame Sarr block","N","6","4"
"1","1-0460","WCAR","Justin Johnson","Justin Johnson offensive rebound","N","8","4"
"1","1-0468","WCAR","CJ Hyland","media timeout","N","0","0"
"1","1-0468","WCAR","CJ Hyland","turnover Team shotclock team","N","6","4"
"1","1-0498","WCAR","Justin Johnson","Justin Johnson missed driving layup","N","8","4"
"1","1-05.8","DUKE","Nikolas Khamenia","Nikolas Khamenia defensive rebound","N","11","6"
"1","1-05.9","DUKE","Cayden Boozer","Cayden Boozer missed 3-point field goal","N","11","6"
"1","1-0551","WCAR","Marcus Kell","Marcus Kell made turnaround jump shot","Y","8","6"
"1","1-0558","DUKE","Cayden Boozer","Cayden Boozer assist","N","11","6"
"1","1-0558","DUKE","Nikolas Khamenia","Nikolas Khamenia made 3-point pullup jump shot","Y","11","6"
"1","1-0576","WCAR","Cord Stansberry","Cord Stansberry missed jump shot","N","11","6"
"1","1-0595","WCAR","CJ Hyland","Samuel Dada defensive rebound","N","11","6"
