knob,n,pearson,spearman,top50_overlap,p95_abs_delta
OFFENSE_EXPONENT+20%,4549,0.9994811326949705,0.999642162693371,49,0.26281376759833974
OFFENSE_EXPONENT-20%,4549,0.9994704924793184,0.9995976015393311,47,0.263100933458947
DEFENSE_DISCOUNT+20%,4549,0.9999733193040039,0.9999670324125058,49,0.07431077552511371
DEFENSE_DISCOUNT-20%,4549,0.9999739851314622,0.9999684467751038,49,0.07431077552511345
USG_REF+20%,4549,0.9990443050682454,0.9988664481010096,48,0.6847402183777022
USG_REF-20%,4549,0.9987028520264708,0.9984567965543806,47,0.9638097985524768
MINUTES_EXPONENT+20%,4549,0.997895375362432,0.9983002939866431,49,0.5135644717386183
MINUTES_EXPONENT-20%,4549,0.997301006302699,0.9981257072091845,49,0.5699309355127484
GP_K+20%,4549,0.9998598422226489,0.9998747862688732,49,0.36108747412383113
GP_K-20%,4549,0.9997972029103124,0.9998300170715924,49,0.4165400798914791
